obra_id,rubro_id,rubro_nombre,monto_presupuestado,monto_total_real,desviacion,pct_desviacion,clasificacion
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,PLOM,PLOMERIA,0.0,1883500.0,1883500.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CARP,,2500000.0,1047000.0,-1453000.0,-58.12,DENTRO DE PRESUPUESTO
ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,ALB,,0.0,1000000.0,1000000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,PLOM,,0.0,500000.0,500000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,VENTANA,,0.0,250000.0,250000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - DEPOSITO EN CARPINTERIA - 01/11/2025,ADM,,0.0,1400000.0,1400000.0,,SIN PRESUPUESTO
ARQ SANCHEZ - OFICINA - 07/01/2024,OFICINA,,0.0,586218354.0,586218354.0,,SIN PRESUPUESTO
ARQ SANCHEZ - OFICINA - 07/01/2024,GG,GASTOS GENERALES,0.0,5956500.0,5956500.0,,SIN PRESUPUESTO
AUTOTECNIA - AREGLO CAÑERIA - 21/02/2026,PLOM,,0.0,1870000.0,1870000.0,,SIN PRESUPUESTO
AUTOTECNIA - AREGLO CAÑERIA - 21/02/2026,GG,GASTOS GENERALES,4150000.0,380000.0,-3770000.0,-90.84,DENTRO DE PRESUPUESTO
AUTOTECNIA - ARREGLO DE CANILLA Y CAÑO - AUTOTECNIA - 05/04/2025,PLOM,PLOMERIA,0.0,3820000.0,3820000.0,,SIN PRESUPUESTO
AUTOTECNIA - ARREGLOS VARIOS - 20/09/2025,PLOM,,0.0,550000.0,550000.0,,SIN PRESUPUESTO
AUTOTECNIA - AUTOTECNIA - 16/12/2024,PIN,PINTURA,0.0,21940599.0,21940599.0,,SIN PRESUPUESTO
AUTOTECNIA - AUTOTECNIA - 16/12/2024,ALB,,0.0,3250000.0,3250000.0,,SIN PRESUPUESTO
AUTOTECNIA - AUTOTECNIA - 16/12/2024,CARP,,0.0,2365000.0,2365000.0,,SIN PRESUPUESTO
AUTOTECNIA - AUTOTECNIA - 16/12/2024,PLOM,,0.0,250000.0,250000.0,,SIN PRESUPUESTO
AUTOTECNIA - CAÑERIA P/DUCHA HIGIENICA - AUTOTECNICA - 01/11/2025,PLOM,,0.0,300000.0,300000.0,,SIN PRESUPUESTO
AUTOTECNIA - COLOCACION DE TANQUES - 15/07/2025,PLOM,PLOMERIA,0.0,5186740.0,5186740.0,,SIN PRESUPUESTO
AUTOTECNIA - D1 TECHO - 17/01/2026,TECHO,,0.0,9500000.0,9500000.0,,SIN PRESUPUESTO
AUTOTECNIA - D1 TECHO - 17/01/2026,TECHO VARIOS,,0.0,2526500.0,2526500.0,,SIN PRESUPUESTO
AUTOTECNIA - D1 TECHO - 17/01/2026,ALB,ALBAÑILERIA,0.0,800000.0,800000.0,,SIN PRESUPUESTO
AUTOTECNIA - D2 REPINTADO - 10/01/2026,PIN,PINTURA,0.0,20562222.0,20562222.0,,SIN PRESUPUESTO
AUTOTECNIA - MESADA AUTOTECNIA - 30/08/2025,MARM,,0.0,930000.0,930000.0,,SIN PRESUPUESTO
AUTOTECNIA - REPARACION DE BACHA - 04/10/2025,PLOM,,0.0,500000.0,500000.0,,SIN PRESUPUESTO
ING TEME - CASA ING TEME - 12/11/2024,PIN,PINTURA,0.0,11746305.0,11746305.0,,SIN PRESUPUESTO
ING TEME - CASA ING TEME - 12/11/2024,ALB,ALBAÑILERIA,0.0,7024000.0,7024000.0,,SIN PRESUPUESTO
ING TEME - CASA ING TEME - 12/11/2024,ELEC,ELECTRICIDAD,0.0,5902155.0,5902155.0,,SIN PRESUPUESTO
ING TEME - CASA ING TEME - 12/11/2024,TECHO,TECHO,9750000.0,650000.0,-9100000.0,-93.33,DENTRO DE PRESUPUESTO
ING TEME - CASA ING TEME - 12/11/2024,GG,GASTOS GENERALES,6500000.0,618100.0,-5881900.0,-90.49,DENTRO DE PRESUPUESTO
MONICA ESPINOLA - DEP 120M2 - MONICA ESPINOLA - 12/07/2025,ALB,ALBAÑILERIA,0.0,174993051.0,174993051.0,,SIN PRESUPUESTO
MONICA ESPINOLA - DEP 120M2 - MONICA ESPINOLA - 12/07/2025,TECHO,TECHO,0.0,38596080.0,38596080.0,,SIN PRESUPUESTO
MONICA ESPINOLA - DEP 120M2 - MONICA ESPINOLA - 12/07/2025,HERR,,0.0,9900000.0,9900000.0,,SIN PRESUPUESTO
