obra_nro,obra_id,nombre_obra,estado_obra,categoria_obra,monto_contrato,fecha_inicio,fecha_fin_estimada,fecha_fin_real,ubicacion_ciudad,ubicacion_zona,ubicacion_direccion,total_materiales,total_mano_obra,total_gastos,total_ingresos,resultado_neto,qty_compras,qty_pagos,qty_sectores,qty_trabajadores,qty_proveedores,pct_contrato_ejecutado
41,ALGESA - REPINTADO D26 - 03/09/2025,REPINTADO D26,FINALIZADO,SERVICIO,,2025-09-03,,,,,,149500.0,0.0,149500.0,0.0,-149500.0,1,0,1,0,1,
33,ALGESA - ARREGLO DESAGUE - D26 - 10/07/2025,ARREGLO DESAGUE - D26,FINALIZADO,SERVICIO,,2025-07-10,,2025-07-15,CIUDAD DEL ESTE,KM12,,806000.0,0.0,806000.0,0.0,-806000.0,10,0,1,0,2,
29,ALGESA - DIVISORIA DE VIDRIO - OFICINAS - 31/01/2025,DIVISORIA DE VIDRIO - OFICINAS,FINALIZADO,SERVICIO,,2025-01-31,,2025-01-31,CIUDAD DEL ESTE,KM12,,19580000.0,0.0,19580000.0,4950000.0,-14630000.0,2,0,1,0,1,
32,ALGESA - REPARACION DE MURO/MOLDURA EXTERIOR - D26 - 30/04/2025,REPARACION DE MURO/MOLDURA EXTERIOR - D26,FINALIZADO,SERVICIO,,2025-04-30,,2025-04-30,CIUDAD DEL ESTE,KM12,,38000.0,0.0,38000.0,29300000.0,29262000.0,1,0,1,0,1,
39,ALGESA - ADM CENTRAL - 22/11/2025,ADM CENTRAL,FINALIZADO,SERVICIO,,2025-11-22,,,,,,0.0,1100000.0,1100000.0,0.0,-1100000.0,0,2,1,2,0,
34,AUTOTECNIA - MESADA AUTOTECNIA - 30/08/2025,MESADA AUTOTECNIA,FINALIZADO,SERVICIO,,2025-08-30,,2025-08-30,CIUDAD DEL ESTE,KM12,,0.0,930000.0,930000.0,0.0,-930000.0,0,1,1,1,0,
51,ALGESA - ITAIPU PORA ARREGLO - 01/01/2026,ITAIPU PORA ARREGLO,FINALIZADO,SERVICIO,,2026-01-01,,,,,,0.0,1900000.0,1900000.0,0.0,-1900000.0,0,2,1,2,0,
36,AUTOTECNIA - REPARACION DE BACHA - 04/10/2025,REPARACION DE BACHA,FINALIZADO,SERVICIO,,2025-10-04,,,,,,0.0,500000.0,500000.0,0.0,-500000.0,0,1,1,1,0,
37,AUTOTECNIA - CAÑERIA P/DUCHA HIGIENICA - AUTOTECNICA - 01/11/2025,CAÑERIA P/DUCHA HIGIENICA - AUTOTECNICA,FINALIZADO,SERVICIO,,2025-11-01,,,,,,0.0,300000.0,300000.0,21500000.0,21200000.0,0,1,1,1,0,
35,AUTOTECNIA - ARREGLOS VARIOS - 20/09/2025,ARREGLOS VARIOS,FINALIZADO,SERVICIO,,2025-09-20,,,,,,0.0,550000.0,550000.0,0.0,-550000.0,0,1,1,1,0,
50,ARQ SANCHEZ - CASA HIJA ARQ - 01/01/2026,CASA HIJA ARQ,FINALIZADO,SERVICIO,,2026-01-01,,,,,,0.0,1750000.0,1750000.0,91250000.0,89500000.0,0,3,1,3,0,
38,ARQ SANCHEZ - DEPOSITO EN CARPINTERIA - 01/11/2025,DEPOSITO EN CARPINTERIA,FINALIZADO,SERVICIO,,2025-11-01,,,,,,0.0,1400000.0,1400000.0,23850000.0,22450000.0,0,3,1,1,0,
30,ALGESA - RESTAURACION DE PARAPETO - D5 - 08/02/2025,RESTAURACION DE PARAPETO - D5,FINALIZADO,SERVICIO,,2025-02-08,,2025-02-08,CIUDAD DEL ESTE,KM12,,0.0,300000.0,300000.0,22000000.0,21700000.0,0,1,1,1,0,
2,ARQ SANCHEZ - GASTOS PARTICULARES ARQ - 07/01/2024,GASTOS PARTICULARES ARQ,ACTIVO,OBRA,,2024-01-07,,,CIUDAD DEL ESTE,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
