obra_id,nombre_obra,rubro_id,rubro_nombre,total_materiales,qty_compras,total_mano_obra,qty_pagos,total_rubro,ranking_en_obra
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,,EXC,,0.0,0,220000.0,1,220000.0,6
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,,CIELO RASO,,0.0,0,150000.0,1,150000.0,7
ALGESA - REMODELACION DE BAÑO - AUDITORIA - 15/07/2025,REMODELACION DE BAÑO - AUDITORIA,PIN,PINTURA,58500.0,1,0.0,0,58500.0,8
ALGESA - REPARACION DE MURO/MOLDURA EXTERIOR - D26 - 30/04/2025,REPARACION DE MURO/MOLDURA EXTERIOR - D26,ALB,ALBAÑILERIA,38000.0,1,0.0,0,38000.0,1
ALGESA - REPINTADO D26 - 03/09/2025,REPINTADO D26,PIN,PINTURA,149500.0,1,0.0,0,149500.0,1
ALGESA - RESTAURACION DE PARAPETO - D5 - 08/02/2025,,ALB,,0.0,0,300000.0,1,300000.0,1
ALGESA - VICERAS - D11 - 06/06/2025,VICERAS - D11,TECHO,TECHO,7979257.0,18,5600000.0,1,13579257.0,1
ALGESA - VICERAS - D11 - 06/06/2025,VICERAS - D11,GG,GASTOS GENERALES,299000.0,3,0.0,0,299000.0,2
ALGESA - VICERAS - D26 - 21/05/2025,VICERAS - D26,TECHO,TECHO,9730469.0,17,5600000.0,1,15330469.0,1
ALGESA - VICERAS - D26 - 21/05/2025,VICERAS - D26,PIN,PINTURA,675120.0,3,0.0,0,675120.0,2
ALGESA - VICERAS - D6 - 02/12/2024,VICERAS - D6,TECHO,TECHO,12464644.0,30,5600000.0,1,18064644.0,1
ALGESA - VICERAS - D6 - 02/12/2024,VICERAS - D6,GG,GASTOS GENERALES,403000.0,2,0.0,0,403000.0,2
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,ALB,ALBAÑILERIA,2588500.0,22,7630000.0,7,10218500.0,1
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,PLOM,PLOMERIA,1671960.0,29,2000000.0,2,3671960.0,2
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,ELEC,ELECTRICIDAD,1379500.0,21,2050000.0,2,3429500.0,3
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,ARTEFACTO,,2636000.0,11,0.0,0,2636000.0,4
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,PISO,PISO,1532300.0,2,0.0,0,1532300.0,5
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,TECHO,TECHO,504000.0,1,504000.0,1,1008000.0,6
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,,EXC,,0.0,0,800000.0,2,800000.0,7
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,,GRANITO,,0.0,0,720000.0,1,720000.0,8
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,,VIDRIO,,0.0,0,490000.0,1,490000.0,9
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,PIN,PINTURA,140400.0,3,250000.0,1,390400.0,10
APAMAP - APAMAP BAÑO Y TECHO - 29/04/2024,APAMAP BAÑO Y TECHO,GG,GASTOS GENERALES,299500.0,5,0.0,0,299500.0,11
APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,ALB,ALBAÑILERIA,8197000.0,28,10400000.0,5,18597000.0,1
APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,TECHO,TECHO,5297185.0,11,0.0,0,5297185.0,2
APAMAP - APAMAP DEPOSITO - 30/08/2024,,HERR,,0.0,0,4550000.0,3,4550000.0,3
APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,PIN,PINTURA,1648556.0,14,2500000.0,2,4148556.0,4
APAMAP - APAMAP DEPOSITO - 30/08/2024,,VIDRIO,,0.0,0,1789000.0,2,1789000.0,5
APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,PISO,PISO,1725235.0,4,0.0,0,1725235.0,6
APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,ELEC,ELECTRICIDAD,514500.0,14,1080000.0,2,1594500.0,7
APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,GG,GASTOS GENERALES,335500.0,7,0.0,0,335500.0,8
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,ALB,ALBAÑILERIA,8566600.0,35,23945000.0,14,32511600.0,1
APAMAP - APAMAP REMODELACION - 25/04/2025,,DIVISORIA,,0.0,0,19776000.0,4,19776000.0,2
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,ELEC,ELECTRICIDAD,7914875.0,38,4000000.0,1,11914875.0,3
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,LOZA SANITARIA,LOZA,7568990.0,7,0.0,0,7568990.0,4
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,PISO,PISO,6083248.0,11,944100.0,2,7027348.0,5
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,PIN,PINTURA,2970737.0,22,4000000.0,3,6970737.0,6
APAMAP - APAMAP REMODELACION - 25/04/2025,,PUERTA,,0.0,0,6400000.0,1,6400000.0,7
APAMAP - APAMAP REMODELACION - 25/04/2025,,CIELO RASO,,0.0,0,4030000.0,3,4030000.0,8
APAMAP - APAMAP REMODELACION - 25/04/2025,APAMAP REMODELACION,PLOM,PLOMERIA,1014523.0,12,2200000.0,3,3214523.0,9
