proveedor_id,qty_compras,qty_obras,total_comprado,promedio_compra,primera_compra,ultima_compra,pct_del_total,pct_acumulado,clasificacion_pareto,ranking
PROVEEDOR 275,3,3,280000.0,93333.33333333333,2025-11-29,2025-12-12,0.0,99.8,C (5%),222
PROVEEDOR 304,16,1,272000.0,17000.0,2024-04-30,2024-07-17,0.0,99.81,C (5%),224
PROVEEDOR 146,4,3,270000.0,67500.0,2025-02-15,2026-02-25,0.0,99.81,C (5%),225
PROVEEDOR 156,3,3,265000.0,88333.33333333333,2025-09-11,2026-01-09,0.0,99.82,C (5%),226
PROVEEDOR 301,1,1,262600.0,262600.0,2025-05-14,2025-05-14,0.0,99.82,C (5%),227
PROVEEDOR 231,1,1,260508.0,260508.0,2024-10-15,2024-10-15,0.0,99.82,C (5%),228
PROVEEDOR 248,3,1,260000.0,86666.66666666667,2024-12-16,2024-12-16,0.0,99.83,C (5%),229
PROVEEDOR 117,2,1,242000.0,121000.0,2025-05-13,2025-07-31,0.0,99.83,C (5%),230
PROVEEDOR 90,2,1,240000.0,120000.0,2025-01-21,2025-11-18,0.0,99.83,C (5%),231
PROVEEDOR 119,1,1,233500.0,233500.0,2024-12-18,2024-12-18,0.0,99.84,C (5%),232
PROVEEDOR 217,3,1,228000.0,76000.0,2024-10-10,2024-10-10,0.0,99.84,C (5%),233
PROVEEDOR 74,4,1,224000.0,56000.0,2024-10-14,2025-07-28,0.0,99.84,C (5%),234
PROVEEDOR 46,3,2,215000.0,71666.66666666667,2024-10-10,2025-07-16,0.0,99.85,C (5%),235
PROVEEDOR 55,1,1,209949.0,209949.0,2025-11-21,2025-11-21,0.0,99.85,C (5%),236
PROVEEDOR 319,4,1,205000.0,51250.0,2024-12-26,2026-01-06,0.0,99.85,C (5%),237
PROVEEDOR 305,2,1,200142.0,100071.0,2024-10-08,2025-04-22,0.0,99.86,C (5%),238
PROVEEDOR 283,2,2,200129.0,100064.5,2025-09-06,2026-01-27,0.0,99.86,C (5%),239
PROVEEDOR 272,1,1,200000.0,200000.0,2024-09-05,2024-09-05,0.0,99.87,C (5%),240
PROVEEDOR 59,1,1,200000.0,200000.0,2024-08-28,2024-08-28,0.0,99.87,C (5%),240
PROVEEDOR 99,1,1,200000.0,200000.0,2025-02-20,2025-02-20,0.0,99.87,C (5%),240
PROVEEDOR 133,1,1,200000.0,200000.0,2024-07-03,2024-07-03,0.0,99.87,C (5%),240
PROVEEDOR 42,1,1,200000.0,200000.0,2024-11-27,2024-11-27,0.0,99.87,C (5%),240
PROVEEDOR 345,1,1,187800.0,187800.0,2026-03-02,2026-03-02,0.0,99.87,C (5%),245
PROVEEDOR 41,2,1,180000.0,90000.0,2025-11-26,2025-12-19,0.0,99.88,C (5%),246
PROVEEDOR 276,2,2,180000.0,90000.0,2025-02-03,2025-11-19,0.0,99.88,C (5%),246
PROVEEDOR 337,1,1,170000.0,170000.0,2026-01-23,2026-01-23,0.0,99.88,C (5%),248
PROVEEDOR 102,2,2,170000.0,85000.0,2025-10-11,2025-11-15,0.0,99.88,C (5%),248
PROVEEDOR 63,3,3,166000.0,55333.333333333336,2025-06-03,2026-02-24,0.0,99.89,C (5%),250
ELECTRICIDAD TOTAL,2,1,165000.0,82500.0,2024-08-08,2024-08-26,0.0,99.89,C (5%),251
PINTURAS NACIONAL,1,1,163000.0,163000.0,2024-12-14,2024-12-14,0.0,99.89,C (5%),252
PROVEEDOR 32,1,1,162000.0,162000.0,2025-01-14,2025-01-14,0.0,99.89,C (5%),253
VIDRIERIA MODERNA,2,1,161000.0,80500.0,2024-07-06,2024-07-19,0.0,99.9,C (5%),254
PROVEEDOR 86,2,1,160000.0,80000.0,2025-08-01,2025-09-20,0.0,99.9,C (5%),255
PROVEEDOR 228,2,2,150000.0,75000.0,2025-03-12,2025-05-10,0.0,99.91,C (5%),256
PROVEEDOR 273,1,1,150000.0,150000.0,2025-02-02,2025-02-02,0.0,99.91,C (5%),256
PROVEEDOR 164,1,1,150000.0,150000.0,2025-06-02,2025-06-02,0.0,99.91,C (5%),256
PROVEEDOR 293,2,1,150000.0,75000.0,2024-07-05,2024-10-09,0.0,99.91,C (5%),256
HIERROS GUARANI,2,1,150000.0,75000.0,2025-05-17,2025-12-29,0.0,99.91,C (5%),256
PROVEEDOR 96,1,1,149981.0,149981.0,2025-11-20,2025-11-20,0.0,99.91,C (5%),261
PROVEEDOR 201,2,1,144000.0,72000.0,2025-10-13,2026-02-06,0.0,99.91,C (5%),262
PROVEEDOR 221,1,1,140000.0,140000.0,2024-10-22,2024-10-22,0.0,99.92,C (5%),263
PROVEEDOR 223,1,1,137000.0,137000.0,2025-12-11,2025-12-11,0.0,99.92,C (5%),264
PROVEEDOR 302,2,1,130000.0,65000.0,2025-01-06,2025-01-07,0.0,99.92,C (5%),265
PROVEEDOR 233,1,1,130000.0,130000.0,2024-08-31,2024-08-31,0.0,99.92,C (5%),265
PROVEEDOR 103,2,1,127000.0,63500.0,2024-10-14,2024-12-07,0.0,99.92,C (5%),267
PROVEEDOR 124,1,1,125000.0,125000.0,2025-05-12,2025-05-12,0.0,99.92,C (5%),268
PROVEEDOR 75,1,1,120000.0,120000.0,2024-07-01,2024-07-01,0.0,99.93,C (5%),269
PROVEEDOR 114,1,1,120000.0,120000.0,2025-08-29,2025-08-29,0.0,99.93,C (5%),269
PROVEEDOR 226,1,1,120000.0,120000.0,2024-08-24,2024-08-24,0.0,99.93,C (5%),269
PROVEEDOR 161,1,1,120000.0,120000.0,2024-12-16,2024-12-16,0.0,99.93,C (5%),269
PROVEEDOR 31,1,1,119400.0,119400.0,2025-09-06,2025-09-06,0.0,99.93,C (5%),273
PROVEEDOR 315,4,2,118000.0,29500.0,2025-01-05,2025-08-11,0.0,99.93,C (5%),274
SANITARIOS PLUS,1,1,115269.0,115269.0,2024-12-21,2024-12-21,0.0,99.94,C (5%),275
PROVEEDOR 57,2,1,107000.0,53500.0,2024-12-26,2025-02-24,0.0,99.94,C (5%),276
PROVEEDOR 290,2,2,107000.0,53500.0,2025-05-13,2025-05-31,0.0,99.94,C (5%),276
PROVEEDOR 326,1,1,103000.0,103000.0,2025-12-24,2025-12-24,0.0,99.94,C (5%),278
PROVEEDOR 241,1,1,100000.0,100000.0,2025-06-24,2025-06-24,0.0,99.96,C (5%),279
PROVEEDOR 253,1,1,100000.0,100000.0,2025-12-17,2025-12-17,0.0,99.96,C (5%),279
PROVEEDOR 199,1,1,100000.0,100000.0,2025-03-18,2025-03-18,0.0,99.96,C (5%),279
